project_id,domain,size,commit_id,commit_date,method_name,method_change_complexity,change_type,effect_size,effect_size_interpretation,experience,code_change_label,functionality_changed,refactorings
hdrhistogram,Monitoring,8.89,cb59fd8e61c05e25cad83c7b727c941a8273d4d1,1487654171,void org.HdrHistogram.AbstractHistogramBase.setIntegerToDoubleValueConversionRatio(double integerToDoubleValueConversionRatio),2.0,Unchanged,0.0045681063122923,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,fe288b16baaabca43d0503a7a558696b1013cea6,1572859691,public HistogramIterationValue org.HdrHistogram.AbstractHistogramIterator.next(),4.2,Unchanged,0.0174592299090206,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,ad76bb512b510a37f6a55fdea32f8f3dd3355771,1596905914,"private int org.HdrHistogram.AbstractHistogram.fillCountsArrayFromSourceBuffer(ByteBuffer sourceBuffer, int lengthInBytes, int wordSizeInBytes)",10.1,Unchanged,0.0339356803732542,Negligible,0.7895442569475203,Refactoring & Code Cleanup,False,
hdrhistogram,Monitoring,8.89,c24ac346a6e66dfcec1e81a9d16e568648bc65c0,1441767205,"private int org.HdrHistogram.AbstractHistogram.fillCountsArrayFromSourceBuffer(ByteBuffer sourceBuffer, int lengthInBytes, int wordSizeInBytes)",8.6,Unchanged,0.0431240067243817,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,c24ac346a6e66dfcec1e81a9d16e568648bc65c0,1441767205,private int org.HdrHistogram.AbstractHistogram.determineWordSizeInBytes(),8.6,Unchanged,-0.0252327286121293,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,c24ac346a6e66dfcec1e81a9d16e568648bc65c0,1441767205,"synchronized void org.HdrHistogram.AbstractHistogram.fillBufferFromCountsArray(ByteBuffer buffer, int wordSizeInBytes)",8.6,Unchanged,0.0460337446953118,Negligible,0.7895442569475203,Data Structure & Variable Changes+Exception & Input/Output Handling+Control Flow/Loop Changes,True,
hdrhistogram,Monitoring,8.89,32e62f68d9e277850807f2b538bcab5971f11a55,1441772439,"private int org.HdrHistogram.AbstractHistogram.fillCountsArrayFromSourceBuffer(ByteBuffer sourceBuffer, int lengthInBytes, int wordSizeInBytes)",13.0,Unchanged,-0.0097202451053706,Negligible,0.7895442569475203,Data Structure & Variable Changes,False,
hdrhistogram,Monitoring,8.89,32e62f68d9e277850807f2b538bcab5971f11a55,1441772439,private int org.HdrHistogram.AbstractHistogram.determineWordSizeInBytes(),8.6,Unchanged,0.0296301189065037,Negligible,0.7895442569475203,Data Structure & Variable Changes,False,
hdrhistogram,Monitoring,8.89,32e62f68d9e277850807f2b538bcab5971f11a55,1441772439,"synchronized void org.HdrHistogram.AbstractHistogram.fillBufferFromCountsArray(ByteBuffer buffer, int wordSizeInBytes)",13.0,Unchanged,-0.0198072162187824,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,5b6c642badd85b962cd7be09081e4738a9cf2c48,1487653739,public boolean org.HdrHistogram.AbstractHistogramIterator.hasNext(),4.2,Unchanged,-0.064598068213438,Negligible,0.7895442569475203,,,
hdrhistogram,Monitoring,8.89,5b6c642badd85b962cd7be09081e4738a9cf2c48,1487653739,public HistogramIterationValue org.HdrHistogram.AbstractHistogramIterator.next(),13.3,Unchanged,-0.0630735704360709,Negligible,0.7895442569475203,Exception & Input/Output Handling+Control Flow/Loop Changes,False,
hdrhistogram,Monitoring,8.89,61e5d3ccb2aff1931d0f1eb1559aabace974d2dd,1441750905,private int org.HdrHistogram.AbstractHistogram.getEncodingCookie(),21.4,Improvement,1.0,Large,0.7895442569475203,Data Structure & Variable Changes+Exception & Input/Output Handling+Control Flow/Loop Changes,False,
hdrhistogram,Monitoring,8.89,61e5d3ccb2aff1931d0f1eb1559aabace974d2dd,1441750905,private int org.HdrHistogram.AbstractHistogram.getCompressedEncodingCookie(),21.4,Improvement,1.0,Large,0.7895442569475203,Control Flow/Loop Changes,True,
hdrhistogram,Monitoring,8.89,df80115e09dc81ee72f0d1d6d3f95f2ac6a6744c,1547890822,public void org.HdrHistogram.WriterReaderPhaser.writerCriticalSectionExit(long criticalValueAtEnter),18.0,Improvement,0.2008560676298457,Small,0.7895442569475203,Control Flow/Loop Changes,False,
hdrhistogram,Monitoring,8.89,4708c3a25fc335e7076f4118ab8fbb43f183debe,1444034662,"private int org.HdrHistogram.AbstractHistogram.fillCountsArrayFromSourceBuffer(ByteBuffer sourceBuffer, int lengthInBytes, int wordSizeInBytes)",4.2,Unchanged,-0.044236945690556,Negligible,0.6734895376190141,Exception & Input/Output Handling,False,
jctools,System Programming,31.48,72c55e5bee5ed05e47c5f997f8d4bc9d736659d1,1526901267,"public int org.jctools.queues.BaseLinkedQueue<E>.drain(Consumer<E> c, int limit)",4.2,Unchanged,0.0940228068256234,Negligible,0.6454918203580448,Data Structure & Variable Changes,False,Change Method Access Modifier
jctools,System Programming,31.48,72c55e5bee5ed05e47c5f997f8d4bc9d736659d1,1526901267,"public int org.jctools.queues.BaseSpscLinkedArrayQueue<E>.fill(Supplier<E> s, int limit)",4.2,Regression,-0.5249890594065588,Large,0.6454918203580448,Data Structure & Variable Changes,False,Change Method Access Modifier
jctools,System Programming,31.48,72c55e5bee5ed05e47c5f997f8d4bc9d736659d1,1526901267,final long org.jctools.queues.MpscArrayQueueConsumerIndexField<E>.lpConsumerIndex(),8.6,Unchanged,-0.1304136588691154,Negligible,0.6454918203580448,Data Structure & Variable Changes,False,Change Method Access Modifier
jctools,System Programming,31.48,72c55e5bee5ed05e47c5f997f8d4bc9d736659d1,1526901267,public final long org.jctools.queues.BaseMpscLinkedArrayQueueConsumerFields<E>.lvConsumerIndex(),4.2,Unchanged,0.0228539878317874,Negligible,0.6454918203580448,Data Structure & Variable Changes,False,Add Method Annotation + Change Method Access Modifier
jctools,System Programming,31.48,72c55e5bee5ed05e47c5f997f8d4bc9d736659d1,1526901267,public final long org.jctools.queues.BaseMpscLinkedArrayQueueProducerFields<E>.lvProducerIndex(),4.2,Improvement,0.2292903521584694,Small,0.6454918203580448,Exception & Input/Output Handling,True,Add Method Annotation
